ID,TimeControl,Date,ECO,Color,Result,OpponentGlicko,UserGlicko,termination
1yNLGC6N,900+10,2025-09-04,C42,White,Win,1331,1310,Normal
xVJWw9VW,900+10,2025-09-03,B01,Black,Win,1274,1304,Normal
TtdJxjaT,900+10,2025-09-01,C50,White,Win,1296,1298,Normal
aFiZSNzC,900+10,2025-09-01,B00,White,Win,1275,1293,Normal
oraf6uP2,900+10,2025-09-01,B01,Black,Loss,1298,1299,Normal
L3uS6uhq,900+10,2025-09-01,B01,White,Win,1218,1294,Normal
uXlmXZOE,900+10,2025-08-30,B01,Black,Win,1301,1288,Normal
OHLP6Y6J,900+10,2025-08-30,B01,Black,Win,1268,1282,Normal
tmcjY8nb,900+10,2025-08-28,C40,White,Win,1347,1275,Normal
g7j1k0jw,900+10,2025-08-28,B01,Black,Win,1264,1269,Time forfeit
N3zYWl5h,900+10,2025-08-26,B01,Black,Win,1349,1262,Normal
8gnoshm6,900+10,2025-08-26,B01,Black,Win,1277,1255,Normal
uyiJolnL,900+10,2025-08-26,C57,White,Draw,1251,1256,Normal
ZfwSNMXW,900+10,2025-08-25,C50,White,Win,1204,1250,Normal
KuTUqwKz,900+10,2025-08-24,A20,Black,Win,1238,1245,Time forfeit
1zGp5O0c,900+10,2025-08-24,C50,White,Win,1260,1239,Normal
O5TCEbDX,900+10,2025-08-24,B01,Black,Win,1316,1231,Normal
YoGRnxc2,900+10,2025-08-23,A00,Black,Loss,1260,1237,Normal
ju2rUm5y,900+10,2025-08-23,C50,White,Loss,1274,1242,Normal
nmdLvf3e,900+10,2025-08-22,B01,Black,Win,1131,1238,Normal
6bK0bFIb,600+0,2025-08-22,C40,White,Win,1153,1233,Normal
H6NuIdPS,900+10,2025-08-22,B01,Black,Loss,1184,1240,Normal
rOQpvHTo,900+10,2025-08-22,C00,White,Loss,1240,1246,Normal
iHFpy3sD,900+10,2025-08-22,C42,Black,Loss,1350,1250,Normal
NsLAbQFS,900+10,2025-08-22,B01,Black,Loss,1250,1256,Normal
fYCDemFG,900+10,2025-08-22,D11,Black,Loss,1264,1261,Normal
